Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Avatar: The Way of Water,"$2,320,250,281","$684,075,767",29.5%,"$1,636,174,514",70.5%
2,Top Gun: Maverick,"$1,495,696,292","$718,732,821",48.1%,"$776,963,471",51.9%
3,Jurassic World: Dominion,"$1,001,978,080","$376,851,080",37.6%,"$625,127,000",62.4%
4,Doctor Strange in the Multiverse of Madness,"$955,775,804","$411,331,607",43%,"$544,444,197",57%
5,Minions: The Rise of Gru,"$940,482,695","$370,549,695",39.4%,"$569,933,000",60.6%
6,Black Panther: Wakanda Forever,"$859,208,836","$453,829,060",52.8%,"$405,379,776",47.2%
7,The Batman,"$772,245,583","$369,345,583",47.8%,"$402,900,000",52.2%
8,Thor: Love and Thunder,"$760,928,081","$343,256,830",45.1%,"$417,671,251",54.9%
9,Water Gate Bridge,"$626,571,697","$117,294",<0.1%,"$626,454,403",100%
10,Puss in Boots: The Last Wish,"$481,757,663","$186,090,535",38.6%,"$295,667,128",61.4%
11,Moon Man,"$460,237,662",-,-,"$460,237,662",100%
12,Fantastic Beasts: The Secrets of Dumbledore,"$407,150,844","$95,850,844",23.5%,"$311,300,000",76.5%
13,Uncharted,"$407,141,258","$148,648,820",36.5%,"$258,492,438",63.5%
14,Sonic the Hedgehog 2,"$405,421,518","$190,872,904",47.1%,"$214,548,614",52.9%
15,Black Adam,"$393,452,111","$168,152,111",42.7%,"$225,300,000",57.3%
16,Elvis,"$287,740,048","$151,040,048",52.5%,"$136,700,000",47.5%
17,Suzume,"$285,675,626","$10,932,037",3.8%,"$274,743,589",96.2%
18,The Bad Guys,"$250,387,888","$97,459,240",38.9%,"$152,928,648",61.1%
19,The First Slam Dunk,"$246,880,077","$1,291,869",0.5%,"$245,588,208",99.5%
20,Bullet Train,"$239,268,602","$103,368,602",43.2%,"$135,900,000",56.8%
21,Lightyear,"$226,425,420","$118,307,188",52.2%,"$108,118,232",47.8%
22,Smile,"$217,408,513","$105,935,048",48.7%,"$111,473,465",51.3%
23,Too Cool to Kill,"$217,254,604","$185,882",<0.1%,"$217,068,722",99.9%
24,Nice View,"$211,019,042",-,-,"$211,019,042",100%
25,DC League of Super-Pets,"$207,557,117","$93,657,117",45.1%,"$113,900,000",54.9%
26,The Lost City,"$192,907,684","$105,344,029",54.6%,"$87,563,655",45.4%
27,M3GAN,"$180,089,109","$95,159,005",52.8%,"$84,930,104",47.2%
28,One Piece Film: Red,"$171,315,305","$12,775,324",7.5%,"$158,539,981",92.5%
29,Nope,"$171,235,592","$123,277,080",72%,"$47,958,512",28%
30,Ticket to Paradise,"$168,770,985","$68,275,985",40.5%,"$100,495,000",59.5%
31,Morbius,"$167,460,961","$73,865,530",44.1%,"$93,595,431",55.9%
32,RRR,"$165,946,943","$14,500,000",8.7%,"$151,446,943",91.3%
33,The Black Phone,"$161,440,742","$90,123,230",55.8%,"$71,317,512",44.2%
34,Where the Crawdads Sing,"$144,353,965","$90,230,760",62.5%,"$54,123,205",37.5%
35,Everything Everywhere All at Once,"$139,407,019","$77,191,785",55.4%,"$62,215,234",44.6%
36,Scream,"$137,743,924","$81,641,405",59.3%,"$56,102,519",40.7%
37,Death on the Nile,"$137,307,235","$45,630,104",33.2%,"$91,677,131",66.8%
38,A Man Called Otto,"$113,360,085","$64,267,657",56.7%,"$49,092,428",43.3%
39,"Lyle, Lyle, Crocodile","$111,080,122","$46,888,441",42.2%,"$64,191,681",57.8%
40,Halloween Ends,"$104,374,176","$64,079,860",61.4%,"$40,294,316",38.6%
41,The Roundup,"$101,166,707","$812,859",0.8%,"$100,353,848",99.2%
42,The Woman King,"$97,562,514","$67,328,130",69%,"$30,234,384",31%
43,Downton Abbey: A New Era,"$92,651,384","$44,141,550",47.6%,"$48,509,834",52.4%
44,K.G.F: Chapter 2,"$89,123,940","$2,874,000",3.2%,"$86,249,940",96.8%
45,Don't Worry Darling,"$87,609,403","$45,309,403",51.7%,"$42,300,000",48.3%
46,Dragon Ball Super: Super Hero,"$86,562,140","$38,112,140",44%,"$48,450,000",56%
47,Dog,"$84,550,282","$61,778,069",73.1%,"$22,772,213",26.9%
48,Jackass Forever,"$80,563,999","$57,743,451",71.7%,"$22,820,548",28.3%
